REF_AREA;QUARTER;GDP_PER_CAPITA_USD_PPP;OBS_STATUS;REF_YEAR_PRICE
AUS;2025Q2;57827.2;A;2020.0
AUS;2025Q1;57443.6;A;2020.0
MEX;2023Q4;21608.0;P;2020.0
AUS;2024Q3;57526.3;A;2020.0
AUS;2024Q2;57576.3;A;2020.0
AUS;2024Q1;57602.8;A;2020.0
AUS;2023Q4;57796.6;A;2020.0
AUS;2023Q3;58071.7;A;2020.0
AUS;2023Q2;58209.9;A;2020.0
AUS;2023Q1;58264.4;A;2020.0
AUS;2025Q3;57815.7;A;2020.0
AUT;2023Q2;62879.0;A;2020.0
AUT;2023Q1;63727.8;A;2020.0
CHL;2025Q3;29215.2;A;2020.0
CHL;2025Q2;29355.4;A;2020.0
CHL;2025Q1;29312.8;A;2020.0
CHL;2024Q4;29051.0;A;2020.0
CAN;2025Q3;52271.1;A;2020.0
CAN;2025Q2;52084.5;A;2020.0
CAN;2024Q4;51978.0;A;2020.0
CAN;2025Q1;52248.8;A;2020.0
AUS;2024Q4;57594.2;A;2020.0
CAN;2023Q3;52206.9;A;2020.0
CAN;2023Q2;52603.4;A;2020.0
CAN;2023Q1;52820.1;A;2020.0
BEL;2023Q4;61811.3;A;2020.0
BEL;2023Q1;61630.0;A;2020.0
BEL;2023Q3;61695.2;A;2020.0
BEL;2023Q2;61693.8;A;2020.0
AUT;2025Q3;62429.0;A;2020.0
AUT;2025Q2;62258.9;A;2020.0
AUT;2025Q1;62196.3;A;2020.0
AUT;2024Q4;62004.5;A;2020.0
AUT;2024Q3;61800.0;A;2020.0
CZE;2025Q4;49562.6;A;2020.0
CZE;2023Q2;47381.4;A;2020.0
CZE;2025Q1;48472.5;A;2020.0
CZE;2024Q4;48133.8;A;2020.0
CZE;2024Q3;47774.6;A;2020.0
CZE;2024Q2;47575.0;A;2020.0
CZE;2024Q1;47339.5;A;2020.0
CZE;2023Q4;47250.3;A;2020.0
AUT;2023Q4;62068.1;A;2020.0
AUT;2023Q3;62472.0;A;2020.0
CRI;2024Q4;26586.5;A;2020.0
CRI;2023Q4;25757.6;A;2020.0
CRI;2025Q4;27564.5;A;2020.0
CRI;2025Q3;27408.5;A;2020.0
CRI;2024Q1;25967.2;A;2020.0
CRI;2024Q2;26207.3;A;2020.0
CRI;2025Q2;27252.2;A;2020.0
CRI;2025Q1;26713.0;A;2020.0
CRI;2024Q3;26297.5;A;2020.0
CRI;2023Q3;25601.9;A;2020.0
CRI;2023Q2;25420.9;A;2020.0
CRI;2023Q1;25073.3;A;2020.0
COL;2024Q4;18729.4;A;2020.0
COL;2024Q3;18464.3;A;2020.0
COL;2024Q2;18569.9;A;2020.0
COL;2024Q1;18441.1;A;2020.0
