REF_AREA;QUARTER;GDP_PER_CAPITA_USD_PPP;OBS_STATUS;REF_YEAR_PRICE;UNE_RATE_PCT;GDP_GROWTH_QOQ_PCT;UNE_CHANGE_QOQ_PP;GDP_LAG_1Q;UNE_LAG_1Q;GDP_LAG_2Q;UNE_LAG_2Q;GDP_ROLLING_4Q;UNE_ROLLING_4Q;GDP_GROWTH_YOY_PCT;UNE_CHANGE_YOY_PP;OBS_STATUS_ENC;QUARTER_IDX;YEAR;COUNTRY_IDX;GDP_GROUP;GDP_GROUP_ENC
AUS;2023Q1;58264.4;A;2020.0;3.6210123333333333;;;;;;;;;;;2;0;2023;0;HIGH;1
AUS;2023Q2;58209.9;A;2020.0;3.5997939999999997;-0.09353910792868625;-0.02121833333333356;58264.4;3.6210123333333333;;;58237.15;3.6104031666666665;;;2;1;2023;0;HIGH;1
AUS;2023Q3;58071.7;A;2020.0;3.653915;-0.23741665936550804;0.05412100000000031;58209.9;3.5997939999999997;58264.4;3.6210123333333333;58182.0;3.6249071111111113;;;2;2;2023;0;HIGH;1
AUS;2023Q4;57796.6;A;2020.0;3.900831333333333;-0.47372472305787783;0.24691633333333307;58071.7;3.653915;58209.9;3.5997939999999997;58085.65;3.6938881666666665;;;2;3;2023;0;HIGH;1
AUS;2024Q1;57602.8;A;2020.0;3.9086169999999996;-0.33531384199070313;0.007785666666666469;57796.6;3.900831333333333;58071.7;3.653915;57920.25;3.765789333333333;-1.1355132808370083;0.2876046666666663;2;4;2024;0;HIGH;1
AUS;2024Q2;57576.3;A;2020.0;4.034713333333333;-0.04600470810446344;0.1260963333333338;57602.8;3.9086169999999996;57796.6;3.900831333333333;57761.85;3.8745191666666665;-1.0884746409115964;0.43491933333333366;2;5;2024;0;HIGH;1
AUS;2024Q3;57526.3;A;2020.0;4.117056333333333;-0.08684128712682648;0.08234299999999983;57576.3;4.034713333333333;57602.8;3.9086169999999996;57625.5;3.9903044999999997;-0.9391838020929244;0.4631413333333332;2;6;2024;0;HIGH;1
AUS;2024Q4;57594.2;A;2020.0;4.0104359999999994;0.11803296926795603;-0.10662033333333376;57526.3;4.117056333333333;57576.3;4.034713333333333;57574.9;4.017705666666666;-0.35019361000474536;0.10960466666666635;2;7;2024;0;HIGH;1
AUS;2025Q1;57443.6;A;2020.0;4.091478666666666;-0.26148466338624665;0.08104266666666682;57594.2;4.0104359999999994;57526.3;4.117056333333333;57535.100000000006;4.063421083333333;-0.2763754539710006;0.1828616666666667;2;8;2025;0;HIGH;1
AUS;2025Q2;57827.2;A;2020.0;4.152140666666667;0.6677854452018961;0.06066200000000066;57443.6;4.091478666666666;57594.2;4.0104359999999994;57597.825;4.092777916666667;0.43576957880238076;0.11742733333333355;2;9;2025;0;HIGH;1
AUS;2025Q3;57815.7;A;2020.0;4.315131333333333;-0.01988683526091828;0.1629906666666665;57827.2;4.152140666666667;57443.6;4.091478666666666;57670.175;4.142296666666667;0.5030742460405024;0.19807500000000022;2;10;2025;0;HIGH;1
AUT;2023Q1;63727.8;A;2020.0;4.966666666666666;;;;;;;;;;;2;0;2023;1;HIGH;1
AUT;2023Q2;62879.0;A;2020.0;5.0;-1.3319148001343262;0.0333333333333341;63727.8;4.966666666666666;;;63303.4;4.9833333333333325;;;2;1;2023;1;HIGH;1
AUT;2023Q3;62472.0;A;2020.0;5.433333333333334;-0.6472749248556786;0.43333333333333357;62879.0;5.0;63727.8;4.966666666666666;63026.26666666666;5.133333333333333;;;2;2;2023;1;HIGH;1
AUT;2023Q4;62068.1;A;2020.0;5.166666666666667;-0.6465296452810909;-0.2666666666666666;62472.0;5.433333333333334;62879.0;5.0;62786.725;5.141666666666667;;;2;3;2023;1;HIGH;1
