REF_AREA;QUARTER;UNE_RATE_PCT
AUS;2023Q1;3.6210123333333333
AUS;2023Q2;3.5997939999999997
AUS;2023Q3;3.653915
AUS;2023Q4;3.900831333333333
AUS;2024Q1;3.9086169999999996
AUS;2024Q2;4.034713333333333
AUS;2024Q3;4.117056333333333
AUS;2024Q4;4.0104359999999994
AUS;2025Q1;4.091478666666666
AUS;2025Q2;4.152140666666667
AUS;2025Q3;4.315131333333333
AUS;2025Q4;4.258679333333333
AUT;2023Q1;4.966666666666666
AUT;2023Q2;5.0
AUT;2023Q3;5.433333333333334
AUT;2023Q4;5.166666666666667
AUT;2024Q1;4.866666666666667
AUT;2024Q2;5.133333333333334
AUT;2024Q3;5.333333333333333
AUT;2024Q4;5.366666666666667
AUT;2025Q1;5.466666666666666
AUT;2025Q2;5.733333333333333
AUT;2025Q3;5.733333333333333
AUT;2025Q4;5.833333333333333
BEL;2023Q1;5.599999999999999
BEL;2023Q2;5.666666666666667
BEL;2023Q3;5.366666666666667
BEL;2023Q4;5.533333333333334
BEL;2024Q1;5.7
BEL;2024Q2;5.599999999999999
BEL;2024Q3;5.7
BEL;2024Q4;5.8999999999999995
BEL;2025Q1;6.166666666666667
BEL;2025Q2;6.066666666666666
BEL;2025Q3;6.166666666666667
BEL;2025Q4;6.400000000000001
BGR;2023Q1;4.066666666666666
BGR;2023Q2;4.466666666666667
BGR;2023Q3;4.433333333333334
BGR;2023Q4;4.333333333333333
BGR;2024Q1;4.666666666666667
BGR;2024Q2;4.133333333333333
BGR;2024Q3;3.966666666666667
BGR;2024Q4;3.9333333333333336
BGR;2025Q1;3.533333333333333
BGR;2025Q2;3.533333333333333
BGR;2025Q3;3.733333333333333
BGR;2025Q4;3.3000000000000003
CAN;2023Q1;5.133333333333333
CAN;2023Q2;5.233333333333333
CAN;2023Q3;5.433333333333334
CAN;2023Q4;5.766666666666667
CAN;2024Q1;5.8999999999999995
CAN;2024Q2;6.3
CAN;2024Q3;6.5
CAN;2024Q4;6.766666666666667
CAN;2025Q1;6.7
CAN;2025Q2;6.933333333333334
CAN;2025Q3;7.033333333333334
CAN;2025Q4;6.766666666666667
CHL;2023Q1;8.51452
CHL;2023Q2;8.488384666666667
CHL;2023Q3;8.807789666666666
CHL;2023Q4;8.894355
CHL;2024Q1;8.480173333333333
CHL;2024Q2;8.328021666666666
CHL;2024Q3;8.613756333333333
CHL;2024Q4;8.438572333333333
CHL;2025Q1;8.571713666666668
CHL;2025Q2;8.713891666666667
CHL;2025Q3;8.381431999999998
CHL;2025Q4;8.580675666666666
COL;2023Q1;10.389104
COL;2023Q2;10.236215333333334
COL;2023Q3;9.618097
COL;2023Q4;10.394016666666666
COL;2024Q1;10.608023333333334
COL;2024Q2;10.463706666666667
COL;2024Q3;9.837871999999999
COL;2024Q4;9.728196666666667
COL;2025Q1;9.383700333333332
COL;2025Q2;8.851975666666666
COL;2025Q3;8.784044333333334
COL;2025Q4;8.556425333333332
CRI;2023Q1;10.326867666666667
CRI;2023Q2;9.706139
CRI;2023Q3;8.317846333333334
CRI;2023Q4;7.447611666666667
CRI;2024Q1;7.809183333333333
CRI;2024Q2;8.215935666666667
CRI;2024Q3;6.917025333333332
CRI;2024Q4;7.005929666666667
CRI;2025Q1;7.330810333333333
CRI;2025Q2;6.858511
CRI;2025Q3;6.214135333333334
CRI;2025Q4;6.412633
CZE;2023Q1;2.533333333333333
