REF_AREA;QUARTER;GDP_PER_CAPITA_USD_PPP;OBS_STATUS;REF_YEAR_PRICE
AUS;2025Q2;57802.9;A;2020.0
AUS;2024Q4;57541.4;A;2020.0
AUS;2025Q1;57487.7;A;2020.0
CHL;2025Q1;29272.0;A;2020.0
CHL;2024Q4;29068.5;A;2020.0
AUS;2025Q3;57839.5;A;2020.0
CAN;2024Q4;51978.0;A;2020.0
CAN;2025Q4;52250.1;A;2020.0
CAN;2025Q3;52233.7;A;2020.0
CAN;2025Q2;51985.6;A;2020.0
AUT;2025Q2;62144.6;A;2020.0
AUT;2025Q1;62125.2;A;2020.0
EST;2025Q2;41259.3;A;2020.0
EST;2025Q1;40945.0;A;2020.0
EST;2024Q4;40866.2;A;2020.0
AUT;2024Q4;61985.0;A;2020.0
AUT;2025Q4;62241.4;A;2020.0
DNK;2025Q4;70749.4;A;2020.0
DNK;2025Q3;70682.8;A;2020.0
DNK;2024Q4;68978.8;A;2020.0
CZE;2024Q4;48133.8;A;2020.0
CZE;2025Q2;48784.5;A;2020.0
CZE;2025Q4;49562.6;A;2020.0
CZE;2025Q3;49142.4;A;2020.0
CZE;2025Q1;48472.5;A;2020.0
CRI;2025Q2;27207.0;A;2020.0
CRI;2025Q1;26655.8;A;2020.0
CRI;2025Q4;27543.1;A;2020.0
CRI;2025Q3;27412.7;A;2020.0
CRI;2024Q4;26581.8;A;2020.0
COL;2025Q1;18748.4;A;2020.0
COL;2024Q4;18707.7;A;2020.0
COL;2025Q3;18960.6;A;2020.0
NOR;2024Q4;73891.0;A;2020.0
NOR;2025Q4;75037.9;A;2020.0
NOR;2025Q1;73949.2;A;2020.0
NOR;2025Q3;75422.7;A;2020.0
NZL;2025Q1;47811.0;A;2020.0
NZL;2025Q2;47438.8;A;2020.0
NZL;2025Q4;47735.4;A;2020.0
NZL;2025Q3;47797.6;A;2020.0
NZL;2024Q4;47365.6;A;2020.0
LUX;2024Q4;118736.6;A;2020.0
LTU;2025Q3;46589.2;A;2020.0
LTU;2025Q2;46498.1;A;2020.0
LTU;2025Q1;46191.7;A;2020.0
LTU;2024Q4;46035.3;A;2020.0
LVA;2025Q4;37910.7;A;2020.0
LVA;2025Q3;37569.6;A;2020.0
LVA;2025Q2;37068.3;A;2020.0
LVA;2025Q1;36666.3;A;2020.0
CHL;2025Q4;29356.0;A;2020.0
CHL;2025Q2;29353.2;A;2020.0
ISR;2025Q1;45583.9;A;2020.0
ISR;2025Q3;46090.8;A;2020.0
ISR;2025Q2;44952.6;A;2020.0
ISR;2024Q4;45201.4;A;2020.0
IRL;2025Q4;122033.7;A;2020.0
IRL;2025Q3;127166.4;A;2020.0
IRL;2025Q2;127786.6;A;2020.0
IRL;2025Q1;128922.7;A;2020.0
IRL;2024Q4;120163.0;A;2020.0
FRA;2025Q4;55616.7;A;2020.0
FRA;2025Q3;55536.5;A;2020.0
FRA;2025Q2;55273.2;A;2020.0
FRA;2025Q1;55122.3;A;2020.0
FIN;2025Q1;53752.8;A;2020.0
FIN;2025Q2;53640.6;A;2020.0
AUT;2025Q3;62293.0;A;2020.0
EST;2025Q4;41345.3;A;2020.0
EST;2025Q3;41356.2;A;2020.0
ZAF;2025Q3;13680.6;A;2020.0
ZAF;2024Q4;13634.3;A;2020.0
ZAF;2025Q2;13676.1;A;2020.0
JPN;2025Q3;47509.3;A;2020.0
JPN;2024Q4;47277.8;A;2020.0
ITA;2024Q4;52017.4;A;2020.0
USA;2025Q1;72688.6;A;2020.0
USA;2025Q2;73289.0;A;2020.0
USA;2025Q4;74058.5;A;2020.0
USA;2025Q3;73993.4;A;2020.0
GBR;2025Q1;54807.7;A;2020.0
GBR;2024Q4;54493.3;A;2020.0
GBR;2025Q3;54853.3;A;2020.0
GBR;2025Q2;54881.3;A;2020.0
GBR;2025Q4;54811.6;A;2020.0
CHE;2025Q3;80171.1;A;2020.0
CHE;2025Q2;80720.2;A;2020.0
CHE;2025Q1;80766.6;A;2020.0
CHE;2024Q4;80332.8;A;2020.0
SWE;2025Q2;60755.8;A;2020.0
SWE;2025Q1;60210.4;A;2020.0
SWE;2024Q4;60410.7;A;2020.0
SVN;2025Q4;48666.5;A;2020.0
SVN;2025Q3;48518.9;A;2020.0
SVN;2025Q2;48105.9;A;2020.0
CHL;2025Q3;29231.1;A;2020.0
POL;2024Q4;43720.4;A;2020.0
NOR;2025Q2;74583.5;A;2020.0
ZAF;2025Q1;13604.4;A;2020.0
SVK;2025Q2;39333.7;A;2020.0
SVK;2025Q4;39558.1;A;2020.0
SVK;2025Q3;39450.5;A;2020.0
SVK;2025Q1;39256.8;A;2020.0
USA;2024Q4;72887.2;A;2020.0
SWE;2025Q3;61152.3;A;2020.0
SVN;2024Q4;48033.4;A;2020.0
SVK;2024Q4;39194.0;A;2020.0
LVA;2024Q4;36311.9;A;2020.0
JPN;2025Q4;47765.3;A;2020.0
HUN;2024Q4;40240.8;A;2020.0
FRA;2024Q4;55085.1;A;2020.0
DNK;2025Q2;69129.2;A;2020.0
COL;2025Q2;18769.0;A;2020.0
CAN;2025Q1;52145.7;A;2020.0
ITA;2025Q3;52341.8;E;2020.0
ITA;2025Q2;52233.9;E;2020.0
ITA;2025Q1;52217.0;E;2020.0
KOR;2025Q3;54263.4;E;2020.0
KOR;2025Q2;53579.8;E;2020.0
KOR;2025Q1;53248.3;E;2020.0
KOR;2024Q4;53405.9;E;2020.0
ITA;2025Q4;52456.7;E;2020.0
FIN;2025Q4;53591.0;A;2020.0
FIN;2025Q3;53498.0;A;2020.0
FIN;2024Q4;53683.2;A;2020.0
ZAF;2025Q4;13696.4;A;2020.0
GRC;2025Q4;36915.3;P;2020.0
GRC;2025Q3;36648.1;P;2020.0
GRC;2025Q2;36423.9;P;2020.0
GRC;2025Q1;36270.6;P;2020.0
DEU;2025Q1;61268.7;P;2020.0
DEU;2024Q4;61049.6;P;2020.0
DEU;2025Q2;61166.5;P;2020.0
NLD;2025Q1;68566.5;P;2020.0
NLD;2024Q4;68436.5;P;2020.0
NLD;2025Q2;68759.5;P;2020.0
NLD;2025Q4;69245.9;P;2020.0
NLD;2025Q3;68941.8;P;2020.0
MEX;2025Q2;21706.2;P;2020.0
MEX;2025Q1;21622.9;P;2020.0
MEX;2024Q4;21570.4;P;2020.0
MEX;2025Q4;21837.1;P;2020.0
LUX;2025Q2;119487.2;P;2020.0
LUX;2025Q1;119065.0;P;2020.0
