REF_AREA;QUARTER;GDP_PER_CAPITA_USD_PPP;OBS_STATUS;REF_YEAR_PRICE;UNE_RATE_PCT
AUS;2025Q2;57802.9;A;2020.0;4.17
AUS;2025Q1;57487.7;A;2020.0;4.05
CHL;2025Q1;29272.0;A;2020.0;8.59
AUS;2025Q3;57839.5;A;2020.0;4.32
CAN;2025Q4;52250.1;A;2020.0;6.77
CAN;2025Q3;52233.7;A;2020.0;7.03
CAN;2025Q2;51985.6;A;2020.0;6.93
AUT;2025Q2;62144.6;A;2020.0;5.73
AUT;2025Q1;62125.2;A;2020.0;5.45
EST;2025Q2;41259.3;A;2020.0;7.67
EST;2025Q1;40945.0;A;2020.0;8.05
AUT;2025Q4;62241.4;A;2020.0;5.83
DNK;2025Q4;70749.4;A;2020.0;6.47
DNK;2025Q3;70682.8;A;2020.0;6.4
CZE;2025Q2;48784.5;A;2020.0;2.87
CZE;2025Q4;49562.6;A;2020.0;3.17
CZE;2025Q3;49142.4;A;2020.0;2.97
CZE;2025Q1;48472.5;A;2020.0;2.65
CRI;2025Q2;27207.0;A;2020.0;6.96
CRI;2025Q1;26655.8;A;2020.0;7.36
CRI;2025Q4;27543.1;A;2020.0;6.54
CRI;2025Q3;27412.7;A;2020.0;5.92
COL;2025Q1;18748.4;A;2020.0;9.34
COL;2025Q3;18960.6;A;2020.0;8.79
NOR;2025Q4;75037.9;A;2020.0;4.4
NOR;2025Q1;73949.2;A;2020.0;4.3
NOR;2025Q3;75422.7;A;2020.0;4.67
LTU;2025Q3;46589.2;A;2020.0;6.77
LTU;2025Q2;46498.1;A;2020.0;6.97
LTU;2025Q1;46191.7;A;2020.0;6.7
LVA;2025Q4;37910.7;A;2020.0;6.9
LVA;2025Q3;37569.6;A;2020.0;7.13
LVA;2025Q2;37068.3;A;2020.0;6.67
LVA;2025Q1;36666.3;A;2020.0;7.05
CHL;2025Q4;29356.0;A;2020.0;8.55
CHL;2025Q2;29353.2;A;2020.0;8.74
ISR;2025Q1;45583.9;A;2020.0;2.92
ISR;2025Q3;46090.8;A;2020.0;3.03
ISR;2025Q2;44952.6;A;2020.0;2.96
IRL;2025Q4;122033.7;A;2020.0;4.67
IRL;2025Q3;127166.4;A;2020.0;4.93
IRL;2025Q2;127786.6;A;2020.0;4.6
IRL;2025Q1;128922.7;A;2020.0;4.45
FRA;2025Q4;55616.7;A;2020.0;7.87
FRA;2025Q3;55536.5;A;2020.0;7.73
FRA;2025Q2;55273.2;A;2020.0;7.57
FRA;2025Q1;55122.3;A;2020.0;7.6
FIN;2025Q1;53752.8;A;2020.0;9.35
FIN;2025Q2;53640.6;A;2020.0;9.3
AUT;2025Q3;62293.0;A;2020.0;5.73
EST;2025Q4;41345.3;A;2020.0;6.63
EST;2025Q3;41356.2;A;2020.0;7.57
